Date,Close
2009-01-02,86.23
2009-01-05,84.48
2009-01-06,85.13
2009-01-07,82.75
2009-01-08,84.46
2009-01-09,83.92
2009-01-12,80.76
2009-01-13,80.88
2009-01-14,79.79
2009-01-15,80.39
2009-01-16,82.71
2009-01-20,84.52
2009-01-21,84.15
2009-01-22,84.58
2009-01-23,88.53
2009-01-26,88.95
2009-01-27,88.38
2009-01-28,87.42
2009-01-29,89.5
2009-01-30,91.31
2009-02-02,88.84
2009-02-03,88.47
2009-02-04,89.18
2009-02-05,90.12
2009-02-06,89.59
2009-02-09,88.32
2009-02-10,90.21
2009-02-11,92.29
2009-02-12,93.17
2009-02-13,92.55
2009-02-17,95.45
2009-02-18,96.91
2009-02-19,95.77
2009-02-20,97.8
2009-02-23,97.73
2009-02-24,94.73
2009-02-25,93.15
2009-02-26,93.06
2009-02-27,92.63
2009-03-02,90.93
2009-03-03,90.04
2009-03-04,88.99
2009-03-05,91.99
2009-03-06,92.29
2009-03-09,90.57
2009-03-10,88.14
2009-03-11,89.22
2009-03-12,91.1
2009-03-13,91.3
2009-03-16,90.8
2009-03-17,90.04
2009-03-18,93.09
2009-03-19,94.35
2009-03-20,93.59
2009-03-23,92.08
2009-03-24,90.95
2009-03-25,91.98
2009-03-26,91.93
2009-03-27,90.69
2009-03-30,89.98
2009-03-31,90.28
2009-04-01,91.03
2009-04-02,88.8
2009-04-03,87.59
2009-04-06,85.27
2009-04-07,86.74
2009-04-08,86.61
2009-04-09,86.31
2009-04-13,87.88
2009-04-14,87.37
2009-04-15,87.5
2009-04-16,85.81
2009-04-17,85.22
2009-04-20,86.95
2009-04-21,86.89
2009-04-22,87.38
2009-04-23,88.8
2009-04-24,89.72
2009-04-27,89.01
2009-04-28,87.75
2009-04-29,88.33
2009-04-30,87.27
2009-05-01,86.95
2009-05-04,88.64
2009-05-05,88.25
2009-05-06,89.54
2009-05-07,89.44
2009-05-08,89.98
2009-05-11,89.69
2009-05-12,90.7
2009-05-13,91.09
2009-05-14,91.03
2009-05-15,91.55
2009-05-18,90.36
2009-05-19,90.96
2009-05-20,92.25
2009-05-21,93.85
2009-05-22,94.15
2009-05-26,93.76
2009-05-27,93.45
2009-05-28,94.24
2009-05-29,96.2
2009-06-01,95.73
2009-06-02,96.36
2009-06-03,94.41
2009-06-04,96.23
2009-06-05,93.71
2009-06-08,93.56
2009-06-09,93.83
2009-06-10,93.86
2009-06-11,93.7
2009-06-12,92.17
2009-06-15,91.1
2009-06-16,91.93
2009-06-17,92.35
2009-06-18,91.61
2009-06-19,91.9
2009-06-22,90.54
2009-06-23,90.92
2009-06-24,91.45
2009-06-25,92.31
2009-06-26,92.29
2009-06-29,92.04
2009-06-30,91.18
2009-07-01,92.39
2009-07-02,91.25
2009-07-03,91.25
2009-07-06,90.76
2009-07-07,90.71
2009-07-08,89.27
2009-07-09,89.51
2009-07-10,89.58
2009-07-13,90.19
2009-07-14,90.81
2009-07-15,92.24
2009-07-16,91.98
2009-07-17,91.93
2009-07-20,93.28
2009-07-21,93.13
2009-07-22,93.44
2009-07-23,93.26
2009-07-24,93.41
2009-07-27,93.71
2009-07-28,92.11
